Date,Open,High,Low,Close,Adj Close,Volume
9/6/2022,107.400002,108.800003,106.050003,108.599998,105.167511,59505849
9/7/2022,107.550003,108.900002,107.099998,107.599998,104.19912,43945660
9/8/2022,108.400002,108.400002,105.349998,105.849998,102.504433,71228405
9/9/2022,107,107.349998,105.5,105.699997,102.359169,63647166
9/12/2022,106.800003,107.949997,106.5,107.75,104.344383,40838533
9/13/2022,108,108.699997,107.550003,107.75,104.344383,44179394
9/14/2022,106.300003,110.400002,105.800003,109.150002,105.700134,86379872
9/15/2022,108.650002,109,106.5,107,103.618088,62926791
9/16/2022,106.199997,107.5,105,105.699997,102.359169,107967267
9/19/2022,106.199997,106.199997,103,103.099998,99.841347,51146568
9/20/2022,104.199997,106.349998,104,105.800003,102.456017,52140254
9/21/2022,105.800003,107.199997,104.300003,104.449997,101.148682,46142823
9/22/2022,104.449997,105.300003,103.5,103.599998,100.325546,61380323
9/23/2022,106.199997,107.900002,103.75,104.300003,101.003426,109765520
9/26/2022,104.400002,104.449997,98.5,99.849998,96.694069,101291962
9/27/2022,101.349998,101.349998,96.5,97.650002,94.563606,104949032
9/28/2022,96.550003,97.849998,95,95.199997,92.19104,71724106
9/29/2022,97,98.25,96.400002,96.849998,93.788895,60884592
9/30/2022,96.849998,100.400002,95.699997,99.300003,96.161461,66436616
10/3/2022,99.599998,99.650002,98,98.349998,95.241486,37282313
10/4/2022,100.300003,101.5,100,101.150002,97.952988,40186702
10/6/2022,102,103.800003,101.75,103.550003,100.27713,48169310
10/7/2022,103.300003,103.5,101.900002,103.300003,100.035034,36080875
10/10/2022,102,103.5,101.150002,103.199997,99.938187,36641275
10/11/2022,103.550003,103.650002,99.800003,100.349998,97.178268,41083734
10/12/2022,100.349998,101.199997,99,100.550003,97.371948,41357469
10/13/2022,101.099998,101.800003,98.800003,100.099998,96.936172,34668093
10/14/2022,101.849998,102.800003,99.900002,100.099998,96.936172,32456805
10/17/2022,99.75,100.400002,98.099998,99.550003,96.403557,37568783
10/18/2022,100.300003,101,99.800003,100.650002,97.468788,30722156
10/19/2022,100.599998,101.25,99.699997,100.050003,96.887756,38764542
10/20/2022,99.5,101.199997,98.800003,100.900002,97.710892,38091315
